,Unnamed: 0,CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,precint_num,name,lat_2,long_2,CMPLNT_FR_DT_1,CMPLNT_Open_year,CMPLNT_Open_month,lat_long_2,lat_long_crime_map,lat_long_crime_map_clean,address_crime_map,zip_code_crime_map
8959,8959,157590885,5/19/2018,0:10:00,5/19/2018,0:15:00,120,5/19/2018,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,staten island,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,,,,954695,169014,UNKNOWN,WHITE,M,,40.63053983,-74.10647924,"(40.630539825, -74.106479241)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,D,120,120th Precinct,40.64464375,-74.07741757,5/19/2018,2018,5,"(40.63053982500002, -74.106479241)","(40.63053982500002, -74.106479241)","40.63053982500002, -74.106479241","513 Forest Ave, Staten Island, NY 10310, USA",10310
8960,8960,698680598,10/5/2018,0:00:00,10/8/2018,23:59:00,120,10/10/2018,109,GRAND LARCENY,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",COMPLETED,FELONY,staten island,INSIDE,ATM,N.Y. POLICE DEPT,0,,,,954695,169014,,,,,40.63053983,-74.10647924,"(40.630539825, -74.106479241)",PATROL BORO STATEN ISLAND,,25-44,WHITE HISPANIC,F,120,120th Precinct,40.64464375,-74.07741757,10/5/2018,2018,10,"(40.63053982500002, -74.106479241)","(40.63053982500002, -74.106479241)","40.63053982500002, -74.106479241","513 Forest Ave, Staten Island, NY 10310, USA",10310
8961,8961,179740060,8/12/2018,19:40:00,8/12/2018,19:45:00,120,8/12/2018,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,staten island,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,959772,172014,,,,,40.63878967,-74.08819923,"(40.63878967, -74.088199229)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E,120,120th Precinct,40.64464375,-74.07741757,8/12/2018,2018,8,"(40.63878967000005, -74.08819922899994)","(40.63878967000005, -74.08819922899994)","40.63878967000005, -74.08819922899994","307 York Ave, Staten Island, NY 10301, USA",10301
8962,8962,614176776,10/18/2018,16:00:00,10/18/2018,16:10:00,120,10/18/2018,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,staten island,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,960344,161490,UNKNOWN,UNKNOWN,M,,40.60990507,-74.08610096,"(40.609905065, -74.086100959)",PATROL BORO STATEN ISLAND,,45-64,WHITE HISPANIC,M,120,120th Precinct,40.64464375,-74.07741757,10/18/2018,2018,10,"(40.60990506500008, -74.08610095899995)","(40.60990506500008, -74.08610095899995)","40.60990506500008, -74.08610095899995","270 Oder Ave, Staten Island, NY 10304, USA",10304
8963,8963,896236153,11/3/2018,5:30:00,11/3/2018,5:55:00,120,11/3/2018,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,staten island,,STREET,N.Y. POLICE DEPT,0,,,,962145,173132,45-64,BLACK,M,,40.64186458,-74.07965263,"(40.64186458, -74.079652634)",PATROL BORO STATEN ISLAND,,45-64,WHITE HISPANIC,M,120,120th Precinct,40.64464375,-74.07741757,11/3/2018,2018,11,"(40.64186458000006, -74.07965263399994)","(40.64186458000006, -74.07965263399994)","40.64186458000006, -74.07965263399994","43 Fort Pl, Staten Island, NY 10301, USA",10301
8964,8964,858259880,1/30/2018,17:20:00,1/30/2018,17:30:00,120,1/30/2018,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,staten island,,STREET,N.Y. POLICE DEPT,0,,,,962145,173132,25-44,BLACK,F,,40.64186458,-74.07965263,"(40.64186458, -74.079652634)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E,120,120th Precinct,40.64464375,-74.07741757,1/30/2018,2018,1,"(40.64186458000006, -74.07965263399994)","(40.64186458000006, -74.07965263399994)","40.64186458000006, -74.07965263399994","43 Fort Pl, Staten Island, NY 10301, USA",10301
8965,8965,192586632,4/18/2018,9:50:00,4/18/2018,9:55:00,120,4/18/2018,109,GRAND LARCENY,404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",COMPLETED,FELONY,staten island,,STREET,N.Y. POLICE DEPT,0,,,,962145,173132,18-24,BLACK,M,,40.64186458,-74.07965263,"(40.64186458, -74.079652634)",PATROL BORO STATEN ISLAND,,<18,WHITE HISPANIC,M,120,120th Precinct,40.64464375,-74.07741757,4/18/2018,2018,4,"(40.64186458000006, -74.07965263399994)","(40.64186458000006, -74.07965263399994)","40.64186458000006, -74.07965263399994","43 Fort Pl, Staten Island, NY 10301, USA",10301
8966,8966,252093510,4/3/2018,21:00:00,4/3/2018,21:30:00,120,4/3/2018,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,staten island,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,,952807,172500,45-64,WHITE HISPANIC,M,,40.64010165,-74.11329738,"(40.640101647, -74.113297376)",PATROL BORO STATEN ISLAND,,25-44,BLACK,M,120,120th Precinct,40.64464375,-74.07741757,4/3/2018,2018,4,"(40.640101647000044, -74.11329737599993)","(40.640101647000044, -74.11329737599993)","40.640101647000044, -74.11329737599993","107 Bement Ave, Staten Island, NY 10310, USA",10310
8967,8967,721123800,4/3/2018,21:00:00,4/3/2018,21:30:00,120,4/3/2018,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,staten island,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,,952807,172500,25-44,BLACK,M,,40.64010165,-74.11329738,"(40.640101647, -74.113297376)",PATROL BORO STATEN ISLAND,,45-64,WHITE HISPANIC,M,120,120th Precinct,40.64464375,-74.07741757,4/3/2018,2018,4,"(40.640101647000044, -74.11329737599993)","(40.640101647000044, -74.11329737599993)","40.640101647000044, -74.11329737599993","107 Bement Ave, Staten Island, NY 10310, USA",10310
8968,8968,217234453,4/7/2018,15:50:00,4/7/2018,15:55:00,120,4/7/2018,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,staten island,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,960452,162026,18-24,BLACK,M,,40.61137657,-74.08571388,"(40.611376566, -74.085713876)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,F,120,120th Precinct,40.64464375,-74.07741757,4/7/2018,2018,4,"(40.61137656600005, -74.08571387599994)","(40.61137656600005, -74.08571387599994)","40.61137656600005, -74.08571387599994","644 Targee St, Staten Island, NY 10304, USA",10304
