,Incident Zip,Complaint Type,complaint_rate,rank
118,11103,710,0.46954877024515734,93
148,11228,707,0.46756476135679753,94
151,11231,697,0.4609513983955981,95
187,11379,696,0.4602900620994782,96
166,11357,694,0.4589673895072383,97
36,10036,689,0.4556607080266386,98
3,10001,684,0.4523540265460389,99
196,11418,681,0.4503700176576791,100
191,11413,671,0.4437566546964797,101
35,10035,666,0.44044997321588003,102
15,10014,657,0.43449794655080054,103
121,11106,656,0.4338366102546806,104
14,10013,656,0.4338366102546806,104
13,10012,648,0.4285459198857211,106
208,11433,638,0.4219325569245217,107
167,11358,637,0.4212712206284017,108
117,11102,628,0.4153191939633223,109
120,11105,627,0.41465785766720237,110
22,10022,621,0.4106898398904827,111
79,10305,603,0.39878578656032376,112
178,11369,596,0.3941564324874842,113
162,11249,579,0.3829137154534452,114
90,10454,578,0.3822523791573253,115
183,11374,568,0.3756390161961259,116
30,10030,567,0.37497767990000597,117
39,10039,567,0.37497767990000597,117
174,11365,564,0.37299367101164616,119
152,11232,561,0.3710096621232863,120
190,11412,546,0.36108961768148723,121
165,11356,530,0.3505082369435682,122
194,11416,529,0.3498469006474482,123
170,11361,525,0.3472015554629685,124
83,10309,520,0.3438948739823688,125
28,10028,516,0.341249528797889,126
11,10010,499,0.33000681176385005,127
57,10128,499,0.33000681176385005,127
201,11423,480,0.31744142213757115,129
84,10310,475,0.3141347406569715,130
21,10021,464,0.3068600413996521,131
145,11224,461,0.3048760325112923,132
200,11422,457,0.3022306873268126,133
176,11367,454,0.30024667843845276,134
77,10303,450,0.297601333253973,135
82,10308,442,0.29231064288501346,136
192,11414,440,0.29098797029277357,137
179,11370,440,0.29098797029277357,137
173,11364,423,0.2797452532587346,139
215,11694,420,0.2777612443703748,140
205,11429,389,0.25725981919065666,141
119,11104,374,0.24733977474885754,142
17,10017,363,0.24006507549153822,143
211,11436,361,0.23874240289929832,144
107,10471,359,0.23741973030705843,145
37,10037,347,0.22948369475361916,146
43,10065,347,0.22948369475361916,146
76,10302,344,0.22749968586525934,148
110,10474,341,0.22551567697689953,149
106,10470,331,0.21890231401570012,150
193,11415,330,0.21824097771958018,151
18,10018,326,0.21559563253510042,152
189,11411,320,0.2116276147583808,153
204,11428,318,0.2103049421661409,154
38,10038,309,0.20435291550106144,155
213,11692,296,0.19575554365150222,156
203,11427,292,0.19311019846702246,157
202,11426,270,0.17856079995238378,158
9,10007,260,0.1719474369911844,159
45,10075,245,0.16202739254938528,160
111,10475,222,0.14681665773862668,161
171,11362,215,0.14218730366578708,162
81,10307,210,0.1388806221851874,163
169,11360,201,0.13292859552010794,164
214,11693,199,0.13160592292786805,165
172,11363,177,0.11705652441322938,166
113,11004,172,0.11374984293262967,167
6,10004,139,0.09192574516067166,168
7,10005,128,0.08465104590335232,169
206,11430,126,0.08332837331111244,170
100,10464,120,0.07936035553439279,171
159,11239,90,0.059520266650794594,172
8,10006,74,0.048938885912875554,173
112,11001,72,0.047616213320635675,174
115,11040,47,0.031082805917637176,175
44,10069,27,0.017856079995238378,177
217,11697,27,0.017856079995238378,177
72,10280,27,0.017856079995238378,177
122,11109,26,0.01719474369911844,179
74,10282,26,0.01719474369911844,179
42,10044,25,0.0165334074029985,181
2,10000,23,0.015210734810758618,182
54,10121,18,0.011904053330158919,183
20,10020,17,0.01124271703403898,184
63,10169,9,0.005952026665079459,185
52,10119,6,0.00396801777671964,187
73,10281,6,0.00396801777671964,187
64,10172,6,0.00396801777671964,187
71,10278,5,0.0033066814805997,189
58,10151,4,0.00264534518447976,190
114,11005,4,0.00264534518447976,190
53,10120,3,0.00198400888835982,197
60,10162,3,0.00198400888835982,197
67,10177,3,0.00198400888835982,197
66,10174,3,0.00198400888835982,197
48,10106,3,0.00198400888835982,197
47,10105,3,0.00198400888835982,197
161,11242,3,0.00198400888835982,197
46,10103,3,0.00198400888835982,197
62,10168,3,0.00198400888835982,197
61,10167,3,0.00198400888835982,197
69,10179,3,0.00198400888835982,197
56,10123,2,0.00132267259223988,206
216,11695,2,0.00132267259223988,206
50,10112,2,0.00132267259223988,206
49,10110,2,0.00132267259223988,206
218,12345,2,0.00132267259223988,206
59,10153,2,0.00132267259223988,206
160,11241,2,0.00132267259223988,206
180,11371,2,0.00132267259223988,206
55,10122,1,0.00066133629611994,214
41,10041,1,0.00066133629611994,214
168,11359,1,0.00066133629611994,214
65,10173,1,0.00066133629611994,214
68,10178,1,0.00066133629611994,214
51,10118,1,0.00066133629611994,214
70,10271,1,0.00066133629611994,214
